SCHOOL_TITLE,CourseID,COFFERED_WITH,Sec,Crs,size,stuNo,ROOM_ID,RoomSize,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW,Dept,ClassSize,stuCr,Year,Semester,Level,SemesterNo,
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",5,1,46,46,GPLab-S,50,0,Data Structure Lab,4373-MS Romasa Qasim,15:20,16:50,W,CSE,46,46,2019,Autumn,,3,
SETS,CSE204,"CSE204,CEN204,CSC204",1,3,50,34,C3005-S,40,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,11:20,12:50,ST,CSE,34,102,2019,Autumn,,3,
SETS,CSE204,"CSE204,CEN204,CSC204",2,3,50,32,BC5014-S,50,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,13:40,15:10,ST,CSE,32,96,2019,Autumn,,3,
SETS,CSE204,"CSE204,CEN204,CSC204",3,3,50,32,BC6007-S,50,-1,Digital Logic Design,4348-MR Md. Abu Sayed,8:00,9:30,MW,CSE,32,96,2019,Autumn,,3,
SETS,CSE204,"CSE204,CEN204,CSC204",4,3,50,0,BCTBA4-S,50,B-0,Digital Logic Design,4348-MR Md. Abu Sayed,11:20,12:50,MW,CSE,,0,2019,Autumn,,3,
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",1,1,38,34,CENLAB-S,45,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,11:20,12:50,R,CSE,34,34,2019,Autumn,,3,
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",2,1,38,32,CENLAB-S,45,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,13:40,15:10,R,CSE,32,32,2019,Autumn,,3,
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",3,1,38,32,CENLAB-S,45,0,Labwork based on CSE 204,4348-MR Md. Abu Sayed,9:40,11:10,M,CSE,32,32,2019,Autumn,,3,
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",4,1,30,0,CENLAB-S,45,B-0,Labwork based on CSE 204,4348-MR Md. Abu Sayed,9:40,11:10,W,CSE,,0,2019,Autumn,,3,
SETS,CSE210,"CSE210,CEN210",1,3,50,35,BC9014-S,50,-1,Electronics I,4409-MS Ajmiri Sabrina Khan,11:20,12:50,ST,CSE,35,105,2019,Autumn,,3,
SETS,CSE210,"CSE210,CEN210",2,3,50,25,BC6008-S,50,-1,Electronics I,4383-DR Faisal Uddin,8:00,9:30,MW,CSE,25,75,2019,Autumn,,3,
SETS,CSE210,"CSE210,CEN210",3,3,50,32,BC6013-S,50,-1,Electronics I,4383-DR Faisal Uddin,9:40,11:10,MW,CSE,32,96,2019,Autumn,,3,
SETS,CSE210L,"CSE210L,CEN210L",1,1,35,35,CENLAB-S,45,0,Labwork based on CSE 210,4409-MS Ajmiri Sabrina Khan,13:40,15:10,S,CSE,35,35,2019,Autumn,,3,
SETS,CSE210L,"CSE210L,CEN210L",2,1,35,25,CENLAB-S,45,0,Labwork based on CSE 210,4383-DR Faisal Uddin,11:20,12:50,M,CSE,25,25,2019,Autumn,,3,
SETS,CSE210L,"CSE210L,CEN210L",3,1,35,32,CENLAB-S,45,0,Labwork based on CSE 210,4383-DR Faisal Uddin,11:20,12:50,W,CSE,32,32,2019,Autumn,,3,
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",1,3,46,46,GPLab-S,50,-1,Algorithms,4408-MR Asif Bin Khaled,8:00,9:30,ST,CSE,46,138,2019,Autumn,,3,
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",2,3,40,40,CSCLab2-S,30,-1,Algorithms,4362-MR Bijoy Rahman Arif,11:20,12:50,ST,CSE,40,120,2019,Autumn,,3,
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",3,3,35,19,CSCLab3-S,35,-1,Algorithms,4215-DR Ali Shihab Sabbir,17:00,18:30,MW,CSE,19,57,2019,Autumn,,3,
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",1,1,46,46,GPLab-S,50,0,Labwork based on CSE 211,4408-MR Asif Bin Khaled,9:40,11:10,S,CSE,46,46,2019,Autumn,,3,
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",2,1,40,40,CSCLab2-S,30,0,Labwork based on CSE 211,4362-MR Bijoy Rahman Arif,9:40,11:10,T,CSE,40,40,2019,Autumn,,3,
SETS,CSE211L,"MAT306L,CSE211L,CSC306L,CEN306L",3,1,35,19,CSCLab3-S,35,0,Labwork based on CSE 211,4215-DR Ali Shihab Sabbir,15:20,16:50,M,CSE,19,19,2019,Autumn,,3,
SETS,CSE213,"CSE213,CSC305,CEN305",1,3,38,38,CSCLab1-S,25,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,13:40,15:10,ST,CSE,38,114,2019,Autumn,,3,
SETS,CSE213,"CSE213,CSC305,CEN305",2,3,47,45,GPLab-S,50,-1,Object Oriented Programming,4161-MR Subrata Kumar Dey,13:40,15:10,MW,CSE,45,135,2019,Autumn,,3,
SETS,CSE213,"CSE213,CSC305,CEN305",3,3,30,0,CSCLab3-S,35,B-0,Object Oriented Programming,T001-00 TBA TBA,13:40,15:10,ST,CSE,,0,2019,Autumn,,3,
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",1,1,38,38,CSCLab1-S,25,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,15:20,16:50,T,CSE,38,38,2019,Autumn,,3,
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",2,1,47,45,GPLab-S,50,0,Labwork based on CSE 213,4161-MR Subrata Kumar Dey,15:20,16:50,M,CSE,45,45,2019,Autumn,,3,
SETS,CSE213L,"CSE213L,CSC305L,CEN305L",3,1,30,0,CSCLab3-S,35,B-0,Labwork based on CSE 213,T001-00 TBA TBA,15:20,16:50,T,CSE,,0,2019,Autumn,,3,
SETS,CSE214,"CSE214,CEN311,CSC311",1,3,40,0,BC6007-S,50,B-0,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,8:00,9:30,ST,CSE,,0,2019,Autumn,,3,
SETS,CSE214,"CSE214,CEN311,CSC311",2,3,48,48,BC6009-S,50,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,13:40,15:10,ST,CSE,48,144,2019,Autumn,,3,
SETS,CSE214,"CSE214,CEN311,CSC311",3,3,49,49,BC6013-S,50,-1,Computer Organization & Architecture,4137-MR Mohammad Noor Nabi,13:40,15:10,MW,CSE,49,147,2019,Autumn,,3,
SETS,CSE216,"CSE216,CSC212,CEN212",1,3,52,51,BC6007-S,50,-1,Microprocessor Interfacing & Assembly Language,4242-MR Prof. Farruk Ahmed,11:20,12:50,ST,CSE,51,153,2019,Autumn,,3,
SETS,CSE216,"CSE216,CSC212,CEN212",2,3,50,49,BC6012-S,50,-1,Microprocessor Interfacing & Assembly Language,4251-MR Md. Raihan Bin Rafique,13:40,15:10,MW,CSE,49,147,2019,Autumn,,3,
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",1,1,37,37,CENLAB-S,45,-1,Labwork based on CSE 216,4406-MR Mohammad Rejwan Uddin,9:40,11:10,T,CSE,37,37,2019,Autumn,,3,
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",2,1,35,34,CENLAB-S,45,-1,Labwork based on CSE 216,4251-MR Md. Raihan Bin Rafique,15:20,16:50,W,CSE,34,34,2019,Autumn,,3,
SETS,CSE216L,"CSE216L,CSC212L,CEN212L",3,1,35,29,CENLAB-S,45,-1,Labwork based on CSE 216,4406-MR Mohammad Rejwan Uddin,15:20,16:50,R,CSE,29,29,2019,Autumn,,3,
SETS,CSE303,"CSE303,CSC401,CEN401",1,3,47,47,GPLab-S,50,-1,Database Management,4184-DR Mahady Hasan,17:00,18:30,ST,CSE,47,141,2019,Autumn,,3,
SETS,CSE303,"CSE303,CSC401,CEN401",2,3,39,39,CSCLab1-S,25,-1,Database Management,4372-MS Radiah Haque,13:40,15:10,MW,CSE,39,117,2019,Autumn,,3,
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",1,1,47,47,GPLab-S,50,0,Labwork based on CSE303,4184-DR Mahady Hasan,15:20,16:50,T,CSE,47,47,2019,Autumn,,3,
SETS,CSE303L,"CSE303L,CSC401L,CEN401L",2,1,39,39,CSCLab1-S,25,0,Labwork based on CSE303,4372-MS Radiah Haque,15:20,16:50,M,CSE,39,39,2019,Autumn,,3,
SETS,CSE307,"CSE307,CSC405,CEN405",1,3,45,0,BC5002-S,50,B-0,System Analysis and Design,4372-MS Radiah Haque,15:20,16:50,ST,CSE,,0,2019,Autumn,,3,
SETS,CSE307,"CSE307,CSC405,CEN405",2,3,51,51,BC6009-S,50,-1,System Analysis and Design,4372-MS Radiah Haque,17:00,18:30,MW,CSE,51,153,2019,Autumn,,3,
SETS,CSE309,"CSE309,CSC455,CEN455",1,3,36,36,CSCLab1-S,25,-1,Web Application & Internet,4376-MR Sanzar Adnan Alam,17:00,18:30,ST,CSE,36,108,2019,Autumn,,3,
